tipo_territorio,territorio,orgão,lista(2025),votos(2025),lista(2021),votos(2021)
concelho,Amadora,cm,PS,23257,PS,27221
concelho,Amadora,cm,PPD/PSD.CDS-PP.PPM.MPT.RIR,21147,PPD/PSD.CDS-PP.A.MPT.PDR,15230
concelho,Amadora,cm,CH,12406,PCP-PEV,6162
concelho,Amadora,cm,PCP-PEV,4933,CH,3375
concelho,Amadora,cm,L,2513,B.E.,3305
concelho,Amadora,cm,IL,2480,PAN,1933
concelho,Amadora,cm,B.E.,1279,IL,1729
concelho,Amadora,cm,ADN,458,PPM/R.I.R.,377
concelho,Amadora,cm,,,MAS,227
concelho,Amadora,am,PS,22195,PS,25290
concelho,Amadora,am,PPD/PSD.CDS-PP.PPM.MPT.RIR,19468,PPD/PSD.CDS-PP.A.MPT.PDR,15052
concelho,Amadora,am,CH,13328,PCP-PEV,6928
concelho,Amadora,am,PCP-PEV,5510,B.E.,4232
concelho,Amadora,am,L,3363,CH,4196
concelho,Amadora,am,IL,2543,PAN,2752
concelho,Amadora,am,B.E.,1540,PPM/R.I.R.,409
concelho,Amadora,am,,,MAS,310
freguesia,Alfragide,cm,PS,2699,PS,2756
freguesia,Alfragide,cm,PPD/PSD.CDS-PP.PPM.MPT.RIR,2651,PPD/PSD.CDS-PP.A.MPT.PDR,2063
freguesia,Alfragide,cm,CH,1167,PCP-PEV,453
freguesia,Alfragide,cm,IL,392,IL,402
freguesia,Alfragide,cm,PCP-PEV,365,B.E.,365
freguesia,Alfragide,cm,L,325,CH,354
freguesia,Alfragide,cm,B.E.,132,PAN,219
freguesia,Alfragide,cm,ADN,22,PPM/R.I.R.,26
freguesia,Alfragide,cm,,,MAS,23
freguesia,Alfragide,am,PS,2553,PS,2462
freguesia,Alfragide,am,PPD/PSD.CDS-PP.PPM.MPT.RIR,2519,PPD/PSD.CDS-PP.A.MPT.PDR,2251
freguesia,Alfragide,am,CH,1228,PCP-PEV,515
freguesia,Alfragide,am,IL,461,B.E.,485
freguesia,Alfragide,am,L,443,CH,456
freguesia,Alfragide,am,PCP-PEV,396,PAN,343
freguesia,Alfragide,am,B.E.,153,MAS,39
freguesia,Alfragide,am,,,PPM/R.I.R.,31
freguesia,Alfragide,af,PS,3067,PS,2405
freguesia,Alfragide,af,PPD/PSD.CDS-PP.PPM.MPT.RIR,2505,PPD/PSD.CDS-PP.A.MPT.PDR,2274
